lon,lat,diameter_km
122.8994,-10.0779,67.911
-153.3409,-0.7645,67.884
-3.7997,-3.4048,67.881
-171.2000,-4.3002,67.878
72.9692,45.1117,67.861
-92.0111,29.2076,67.841
-150.4329,-28.1565,67.829
131.8167,3.8087,67.824
118.7736,14.4210,67.782
160.0916,81.1353,67.780
175.5510,-13.6944,67.738
-140.5674,44.5625,67.655
-61.1950,-4.9671,67.589
-82.3122,-60.2514,67.579
39.1579,46.7843,67.575
114.8466,-3.1278,67.449
-102.5659,22.5836,67.385
-54.7040,75.9210,67.359
158.1363,37.1130,67.323
18.5599,62.1603,67.291
57.4095,57.1921,67.273
90.9731,14.1329,67.205
-126.1743,-55.3271,67.191
-130.6760,26.9515,67.174
-165.3338,38.4295,67.161
-146.3299,78.8731,67.087
-116.7953,60.0937,67.084
-46.2347,-48.5973,67.036
-89.2084,43.9035,66.973
-145.2456,10.4482,66.913
-141.7181,18.3022,66.893
-133.7725,-9.5004,66.874
-176.0763,-46.2804,66.704
146.5279,57.0565,66.672
-20.2303,86.9679,66.602
66.0265,46.6547,66.567
87.0300,-54.7550,66.560
-164.9610,7.8693,66.524
115.1008,25.6183,66.395
-168.5522,-9.1717,66.391
-33.3787,-41.2779,66.380
114.9809,4.2827,66.370
-35.3894,-9.6150,66.366
19.0934,-51.0727,66.347
-134.6583,25.9325,66.337
158.3183,19.5437,66.302
16.3313,44.2478,66.251
125.4833,12.1111,66.189
105.5836,-43.1653,66.179
-135.2331,51.0095,66.152
162.3830,5.7275,66.086
165.4637,-44.7908,66.004
4.8532,-38.0191,65.988
174.2922,6.6654,65.968
-28.7971,-20.3908,65.931
-116.2088,14.7281,65.911
154.7206,-26.9195,65.907
131.9704,25.4352,65.886
-116.7000,-46.7027,65.870
-103.3877,-12.9460,65.864
-139.8905,-44.8782,65.827
150.4633,-46.9472,65.804
130.7285,-40.7674,65.699
-7.4325,-74.5188,65.622
130.5902,-66.5365,65.618
107.8408,9.1043,65.616
-161.4749,27.4809,65.592
-12.0662,-77.7202,65.556
90.5174,-58.5504,65.535
121.6709,-25.0307,65.512
158.2209,69.0792,65.442
122.8391,-2.8012,65.433
133.0856,3.7189,65.388
-70.3076,-13.7873,65.359
-83.5417,9.8307,65.347
46.6270,-48.6879,65.304
-114.0993,66.3219,65.212
-24.8364,-37.9087,65.202
-137.5198,-50.5859,65.172
-1.4883,-41.0674,65.152
140.0215,-49.8226,65.067
-105.4268,59.5074,65.062
98.4965,5.6685,65.060
-108.9148,6.9360,65.015
-153.0416,-50.4902,64.950
-41.5467,-28.5088,64.947
-139.5785,-42.5811,64.935
108.3296,1.4814,64.912
155.6722,56.2872,64.906
-146.0525,27.2312,64.882
7.8906,-26.9532,64.872
-147.3000,36.4018,64.872
-139.1000,-28.5013,64.872
139.8888,-20.3169,64.869
75.6221,-19.3613,64.850
-170.7242,-44.6588,64.840
13.8122,-47.7976,64.838
117.3162,28.9383,64.830
77.9057,-51.5084,64.807
50.6513,53.4792,64.802
-63.0522,-68.7199,64.794
76.0001,-63.7454,64.760
-4.2984,-35.7923,64.693
137.7883,50.0621,64.681
127.6358,-43.4513,64.648
150.0385,10.1614,64.636
103.4106,5.6895,64.624
